placename,streetaddress,City,inspectdate,latitude,longitude
Tuscany Gardens Spa,6470 Aragon Way,Fort Myers,3/13/19,26.5513253,-81.8488684
Parkwood Villas HOA II Pool,229 Beth Stacy Boulevard,Lehigh Acres,10/30/18,26.60752702,-81.65506824
Parkwood Villas Pool 1,19 Parkwood Villas Court,Lehigh Acres,10/30/18,26.6101169,-81.6551486
Pine Island Village Pool,4400 Turtle Trail Lane,Saint James City,3/20/19,26.53870186,-82.11309255
Camden Square Pool,12021 Winfield Circle,Fort Myers,1/3/19,26.5670695,-81.8452455
Corkscrew Woodlands Spa,21798 Corkscrew Woodlands Boulevard,Estero,1/8/19,26.41970239,-81.72340607
Coralina Apartments Pool,3305 Grant Cove Circle,Cape Coral,12/26/18,26.6362246,-82.0303945
Tuscany Court Spa,3800 Agualinda Boulevard,Cape Coral,12/17/18,26.581828,-82.0179854
Cape Christian Fellowship Park Splash Deck,2110 Chiquita  Boulevard S,Cape Coral,12/17/18,26.6130295,-82.0083478
Gleason Pool,913 Gleason Parkway,Cape Coral,12/7/18,26.5928194,-81.9948122
Tuscany Court Pool,3800 Agualinda Boulevard,Cape Coral,12/17/18,26.581828,-82.0179854
Casa Bonita Grande Condo Spa,25900 Hickory Boulevard,Bonita Springs,12/4/18,26.359766,-81.8603169
Windsor East Apartments Pool,3675 Broadway,Fort Myers,12/6/18,26.6095166,-81.8655585
Pebble Court Apartments Pool,2974 Jackson Street,Fort Myers,12/6/18,26.6230231,-81.866408
Lago Del Sol Clubhouse Pool,10770 Clear Lake Loop,Fort Myers,12/19/18,26.51974676,-81.93396461
Hampton Park Amenity Center Pool,10201 Gateway Lakes Boulevard,Fort Myers,12/27/18,26.5901383,-81.7465019
Marina Bay Lap Pool,10100  Silver Ridge Boulevard,Fort Myers,12/20/18,26.5718029,-81.7891173
Sanibel Harbour Tower North Spa,17080 Harbour Pointe Drive,Fort Myers,12/12/18,26.4916877,-82.0113571
Lee Plantation Spa,10440 Old South Way,Fort Myers,12/26/18,26.5022712,-81.9297071
Lago Del Sol Clubhouse Spa,10770 Clear Lake Loop,Fort Myers,12/19/18,26.51974676,-81.93396461
Palms of Monterrey Spa,15250 Sonoma Drive,Fort Myers,12/26/18,26.51147217,-81.90718933
Hidden Links Spa,12132 Hidden Links Drive,Fort Myers,12/27/18,26.5888949,-81.7545369
South Community Spa,10103 Colonial Country Club,Fort Myers,12/18/18,26.61285126,-81.78623348
Mandolin Bay Villas Condo Spa,15990 Mandolin Bay Drive,Fort Myers,12/18/18,26.5101833,-81.9522632
Bellini Clubhouse Spa,10551 Via Milano Drive,Fort Myers,12/26/18,26.4820626,-81.7814384
McGregor Woods Pool,12260 McGregor Woods Circle,Fort Myers,12/18/18,26.5094108,-81.957125
Santa Barbara Apartments Pool,4302 Santa Barbara Boulevard,Cape Coral,12/7/18,26.57320487,-81.97419374
Tropic Isle Pool,15175 Stringfellow Road,Bokeelia,12/27/18,26.6822096,-82.1523986
Candlewood Suites Pool,9740 Commerce Center Court,Fort Myers,12/27/18,26.4988829,-81.9136481
Kelly Greens Community II Spa,12048 Kelly Greens Boulevard,Fort Myers,1/23/19,26.4950018,-81.9519348
Grande Cay Recreation Spa,14561 Grande Cay Circle,Fort Myers,1/29/19,26.52524672,-81.95006681
Gulf Waters Homeowners Assoc Spa,11201 Summerlin Square Drive,Fort Myers Beach,9/25/18,26.49293759,-81.93795037
San Simeon Pool,3801 Cherrybrook Loop,Fort Myers,5/14/19,26.6062809,-81.8178078
The Brittany Pool,4050 Winkler Avenue Extension,Fort Myers,1/10/19,26.63435712,-81.83915152
Lindsford Spa,4101 Dutchess Park Road,Fort Myers,1/10/19,26.6169578,-81.8323931
Windsor Garden Apartments Pool,3855 Broadway,Fort Myers,1/10/19,26.6057845,-81.8680237
Paloma Pool,26051 Grand Prix  Drive,Bonita Springs,1/29/19,26.35549472,-81.75195016
Islands At Three Oaks Spa,18225 Horseshoe Bay Circle,Fort Myers,1/24/19,26.4762012,-81.7958775
Southwind Village Pool,8465 Southbridge Drive,Fort Myers,1/23/19,26.46060576,-81.81285995
Arbor Strand at Bonita Bay Pool,27483 Arbor Strand Drive,Bonita Springs,5/13/19,26.34148609,-81.81703593
Quail Run Condo Pool,7081 Quail Run Court E,Fort Myers,5/14/19,26.5217059,-81.9490757
Davis Woods Condo Pool,16881 Davis Road,Fort Myers,5/16/19,26.4965752,-81.9763297
Olde Hickory Golf & Country Club Pool,14670 Old Hickory Boulevard,Fort Myers,5/15/19,26.526758,-81.8039714
Reflection Isles Pool,11375 Reflection Isles Boulevard,Fort Myers,5/15/19,26.5789525,-81.802971
Coconut Creek Spa,12491 McGregor Palms Drive,Fort Myers,5/16/19,26.50413109,-81.96301077
Meadowlark Cove Quad-Plex Pool,11872-11886 Quail Run Drive,Fort Myers,5/14/19,26.52272057,-81.94883809
Stella Del Mar Pool,15072 Stella Del Mar Lane,Fort Myers,5/15/19,26.5221605,-81.952183
Town Hall Amenity Center Pool,3089 River Hall Parkway,Alva,5/17/19,26.7289572,-81.65266868
Bay Harbor Club Spa 1 (North),26225 Hickory Boulevard,Bonita Springs,12/5/18,26.3574267,-81.8560372
The Reef Phase II Pool,19655  Three Oaks Parkway,Fort Myers,8/30/18,26.47224291,-81.81220135
Estero Island Yacht & Racquet Club Pool,200 Lenell Road 112,Fort Myers Beach,9/12/18,26.4148986,-81.896718
Palm Terrace Pool,3333 Estero Boulevard,Fort Myers Beach,9/12/18,26.4439727,-81.9329035
Sunrise Towers Apartments Pool,2825 Central Avenue,Fort Myers,1/31/19,26.62592258,-81.86406782
Laurel Estates M/V Pool,2760 Deerfield  Drive,North Fort Myers,1/31/19,26.7058838,-81.8926612
Wyndham Garden Fort Myers Beach Pool,6890 Estero Boulevard,Fort Myers Beach,10/31/18,26.4164661,-81.902041
Pelican Watch Condo Pool,2532 Estero Boulevard,Fort Myers Beach,10/23/18,26.4476478,-81.9426772
Leisure Time Campsite Pool,"24400 S Tamiami Trail, Lot 171",Bonita Springs,10/29/18,26.38534248,-81.8088535
Sunset Condo Pool,6400 Estero Boulevard,Fort Myers Beach,10/23/18,26.4217033,-81.9051687
Islands End Condo Spa,8402 Estero Boulevard,Fort Myers Beach,10/30/18,26.4043561,-81.8841433
Oakwood Villas Spa At Bonita Bay,27170 Oakwood Lake Drive,Bonita Springs,10/30/18,26.3445757,-81.815512
Sawgrass Point Condo Spa,4200 Sawgrass Point Drive,Bonita Springs,10/25/18,26.3813325,-81.8224735
Harbor Lakes Clubhouse At Bonita Bay Spa,27010 Lake Harbor Court,Bonita Springs,10/30/18,26.3451796,-81.8206642
Lovers Key Beach Club Spa,8701 Estero Boulevard,Fort Myers Beach,10/31/18,26.4049799,-81.8775194
Cooks Island House Motel Pool,701 Estero Boulevard,Fort Myers Beach,10/11/18,26.4560209,-81.9594221
Hawthorne Spa 2 (Clubhouse),10401 River Rock Boulevard,Bonita Springs,10/24/18,26.3606907,-81.7693285
Boardwalk Caper Condo Spa No.2,18030 San Carlos Boulevard,Fort Myers Beach,10/26/18,26.4757049,-81.9518229
Cross Creek of Fort Myers Terrace I Spa,13256 White Marsh Lane,Fort Myers,11/29/18,26.5491853,-81.8294102
Cross Creek Clubhouse Spa,13050 Cross Creek Boulevard,Fort Myers,11/29/18,26.5475653,-81.8303104
Spanish Harbor Condo Pool,9395 Pennsylvania Avenue 43,Bonita Springs,11/29/18,26.3386716,-81.7964793
Bermuda Isles & Cays S & R Club Pool,3876 Essex Place,Bonita Springs,11/29/18,26.3228772,-81.8164577
Casa Loma Motel On The Waterfront pool,3608 Del Prado Boulevard S,Cape Coral,1/31/19,26.58568589,-81.94252686
1818 Parkway Condo Pool,1801 Samantha Gayle  Way,Cape Coral,2/5/19,26.55565642,-82.02055708
Parkwood Villas Pool 1,19 Parkwood Villas Court,Lehigh Acres,1/31/19,26.6101169,-81.6551486
Brookdale- College Parkway Pool,8351 College Parkway,Fort Myers,3/18/19,26.5550226,-81.8945692
Brookdale - College Parkway Pool 2,8351 College Parkway,Fort Myers,3/18/19,26.5550226,-81.8945692
Chabad Lubavitch Pool,5620 Winkler Road,Fort Myers,3/18/19,26.56951492,-81.89999808
Burning Tree At Bonita Bay Neighborhood Pool,27045 Kindlewood Lane,Bonita Springs,10/29/18,26.3451158,-81.8111652
Tip Top Isles Waterfront Resort & Marina Pool,17863 San Carlos Boulevard,Fort Myers Beach,10/24/18,26.4818498,-81.9473599
Castle Beach Condo Pool,8300 Estero Boulevard,Fort Myers Beach,10/26/18,26.4040558,-81.8871044
Snook Bight Marina Pool,4765 Estero Boulevard,Fort Myers Beach,10/24/18,26.43704542,-81.92163634
Island Beach Club on Estero Bay Spa,8751 Estero Boulevard,Fort Myers Beach,10/31/18,26.4057829,-81.877446
Harbor Lakes Clubhouse At Bonita Bay Pool,27010 Lake Harbor Court,Bonita Springs,10/30/18,26.3451796,-81.8206642
Santa Maria Condo Spa 2,7317 Estero Boulevard,Fort Myers Beach,10/18/18,26.4118672,-81.8981562
Villas of Fountain Lakes Pool,22161 Sundance Court,Estero,2/4/19,26.4147069,-81.8164971
Villas of Fountain Lakes Spa,22161 Sundancer Court,Estero,2/4/19,26.4147069,-81.8164971
The Residences At Coconut Point Spa,23155 Amgci Way,Estero,2/4/19,26.4012824,-81.8062999
Marsh Landing Community Spa,22901 Marsh Landing Boulevard,Estero,2/6/19,26.4072513,-81.8136153
Matanzas Inn Pool,414 Crescent Street,Fort Myers Beach,2/7/19,26.45546392,-81.95373277
Villa Medici Pool,15770 Portofino Springs Boulevard,Fort Myers,2/5/19,26.5107049,-81.9082075
Royal Beach Club Spa,800 Estero Boulevard,Fort Myers Beach,1/31/19,26.4543246,-81.9582955
Tropical Sands Resort Spa,7785 Estero Boulevard,Fort Myers Beach,2/6/19,26.4079362,-81.8961075
Harbour House At The Inn Spa,450 Old San Carlos Boulevard,Fort Myers Beach,2/6/19,26.4561086,-81.9544382
"Kelly Greens Community Assoc V Man 4 ,5 & 6 pool",16468 Kelly Cove Drive,Fort Myers,2/4/19,26.4982266,-81.9521162
Sandalwood Estates Townhouse Spa,8890 Somerset Boulevard,Fort Myers,2/4/19,26.55362378,-81.9038347
The Landings - Flagship Village Condo Pool,4206 Flagship Drive,Fort Myers,2/6/19,26.55667435,-81.903357
"Kelly Greens Community Association V Manor IV, V & VI Spa",16470 Kelly Cove Drive,Fort Myers,2/4/19,26.4984294,-81.9525951
Sandalwood Estates Townhouse Pool,8890 Somerset Boulevard,Fort Myers,2/4/19,26.55362378,-81.9038347
Colonnade At The Forum Pool,3405 Antica Street,Fort Myers,2/8/19,26.6151351,-81.7931176
Paradise Gardens Apartments Pool,1206 SE 8th Street,Cape Coral,3/20/19,26.6374459,-81.9505637
Windsor Garden Apartments Pool,3855 Broadway,Fort Myers,1/31/19,26.6057845,-81.8680237
Bayview I At Bonita Bay Spa,4811 Island Pond Court,Bonita Springs,5/7/19,26.3507691,-81.8336473
Harbor Towers Spa,2090 Matecumbe Key Road,Punta Gorda,5/10/19,26.7642913,-82.055414
Majestic Palms (Royal Pointe) Spa,15000 Royal Pointe Lane,Fort Myers,5/8/19,26.49270755,-81.92552833
Casa Di Fiori Clubhouse Spa,1051-1155 Winding Pines Circle,Cape Coral,5/6/19,26.6938848,-81.9452399
Hampton Inn & Suites Fort Myers Beach Hotel pool,11281 Summerlin Square Drive,Fort Myers Beach,5/7/19,26.492181,-81.9386311
McGregor Park Commerical Spa,2510 Mc Gregor Park Circle,Fort Myers,5/7/19,26.52538293,-81.93423009
Parkwoods IV Townhouse Pool,5550 Woodrose Court,Fort Myers,5/13/19,26.56436605,-81.87136112
Days Inn & Suites Pool,10150 Daniels Parkway,Fort Myers,5/10/19,26.5461308,-81.789478
Bellavista @ Miromar Lakes Spa,10100 Bellavista Circle,Fort Myers,11/28/18,26.4787813,-81.7834438
Longlake Village At Pelican Landing Pool,3464 Lakecrest Drive,Bonita Springs,11/8/18,26.3814263,-81.8120576
The Reef Phase II Pool,19655  Three Oaks Parkway,Fort Myers,11/27/18,26.47224291,-81.81220135
Riverbend Golf Club Pool,6270 River Club Court,North Fort Myers,11/7/18,26.6842147,-81.8565544
Venetian Pointe Pool,15050 Cortona (8031 Gladiolus) Way,Fort Myers,11/14/18,26.49270755,-81.92552833
Santa Barbara Apartments Pool,4302 Santa Barbara Boulevard,Cape Coral,4/3/19,26.57320487,-81.97419374
Paradise Gardens Apartments Pool,1206 SE 8th Street,Cape Coral,3/28/19,26.6374459,-81.9505637
Coral Waters Apartments Pool,7225 Maida Lane,Fort Myers,1/9/19,26.5178781,-81.8807326
Cross Creek of Fort Myers Terrace I Spa,13256 White Marsh Lane,Fort Myers,1/10/19,26.5491853,-81.8294102
Rapallo Lake House Pool,8585 Via Garibaldi Circle,Estero,1/10/19,26.41682311,-81.8061096
The Enclave At Rapallo Pool,8651 Piazza Del Lago Circle,Estero,1/10/19,26.41096756,-81.80791592
Cypress Trail RV Resort - Main Clubhouse -Spa,5468  Tice Street,Fort Myers,1/10/19,26.66712981,-81.78670755
Southwind Preserve Pool,8668 Southwind Bay Circle,Fort Myers,1/9/19,26.4858859,-81.8982015
Jonathan's Bay Spa,6001 Jonathan's Bay Circle,Fort Myers,1/14/19,26.510766,-81.8652215
Marina Isle Cabana Pool @ Bonita Bay,27700 Marina Isle Court,Bonita Springs,1/14/19,26.3384842,-81.8307304
Lago Del Sol Clubhouse Spa,10770 Clear Lake Loop,Fort Myers,1/15/19,26.51974676,-81.93396461
Terra Mar Condo Pool,7100 Estero Boulevard,Fort Myers Beach,4/4/19,26.4144791,-81.9018353
Windsor Garden Apartments Pool,3855 Broadway,Fort Myers,4/4/19,26.6057845,-81.8680237
Windsor Garden Apartments Pool,3855 Broadway,Fort Myers,3/14/19,26.6057845,-81.8680237
Castle Beach Condo Pool,8300 Estero Boulevard,Fort Myers Beach,4/4/19,26.4040558,-81.8871044
Tip Top Isles Waterfront Resort & Marina Pool,17863 San Carlos Boulevard,Fort Myers Beach,3/7/19,26.4818498,-81.9473599
The Colony Sports Club Pool,4103 Pelican Colony Boulevard,Bonita Springs,1/15/19,26.35500569,-81.82894073
The Colony Sports Club Spa,4103 Pelican Colony Boulevard,Bonita Springs,1/15/19,26.35500569,-81.82894073
Kon Tiki Apartments Swimming Pool,4102 SE 19th Place,Cape Coral,1/29/19,26.5750034,-81.9344216
Snook Bight Marina Pool,4765 Estero Boulevard,Fort Myers Beach,11/29/18,26.43704542,-81.92163634
Cobblestone On The Lake Spa,4400 Cortina Circle,Fort Myers,12/10/18,26.63435712,-81.83915152
Oxford House Apartments Pool,3580 Central Avenue,Fort Myers,12/11/18,26.61152892,-81.86397537
St. Tropez Pool,2745 First Street,Fort Myers,12/10/18,26.6524056,-81.8584961
The Village at Indian Creek Condo Pool,15400 River Vista Drive,North Fort Myers,12/19/18,26.6868362,-81.8573573
Lake Arrowhead M/V Pool,3122 Old Farmhouse Road,North Fort Myers,12/17/18,26.7091155,-81.8953658
Palm Beach Landings Spa,2885 Palm Beach Boulevard,Fort Myers,12/26/18,26.6533673,-81.85546
Sunrise Towers Apartments Pool,2825 Central Avenue,Fort Myers,12/26/18,26.62592258,-81.86406782
Laurel Estates M/V Pool,2760 Deerfield  Drive,North Fort Myers,12/17/18,26.7058838,-81.8926612
Hibiscus Point at Bay Beach Spa,4485 Bay Beach Lane,Fort Myers Beach,1/29/19,26.4128959,-81.8955471
Royal Pelican Townhouse Condo Pool (North),4511 Bay Beach Lane,Fort Myers Beach,1/30/19,26.4119114,-81.896286
Marsh Landing Community Spa,22901 Marsh Landing Boulevard,Estero,2/14/19,26.4072513,-81.8136153
Cypress Hammock Pool,9650 Cypress Hammock Circle,Bonita Springs,3/13/19,26.3965336,-81.7943526
Estero Bayside Spa,22628 Island Pines Way,Fort Myers Beach,3/13/19,26.417649,-81.8972692
Marina Towers & Yacht Club Condominium Spa,8401 Estero Boulevard,Fort Myers Beach,3/14/19,26.4058229,-81.8843656
Windmill Village Pool,16131 N Cleveland Avenue,North Fort Myers,3/14/19,26.6992567,-81.90457467
Windmill Village Spa,16131 N Cleveland Avenue,North Fort Myers,3/14/19,26.6992567,-81.90457467
Majestic Golf Club Pool,350 Homestead Road S,Lehigh Acres,3/15/19,26.5740034,-81.6293648
Hidden Links Spa,12132 Hidden Links Drive,Fort Myers,3/15/19,26.5888949,-81.7545369
Sunrise Towers Apartments Pool,2825 Central Avenue,Fort Myers,1/11/19,26.62592258,-81.86406782
Summerwind At Gateway Pool,12030 Summergate Circle,Fort Myers,1/15/19,26.564002,-81.7578006
Lucaya Pool,14506 Abaco Lakes Drive,Fort Myers,1/4/19,26.53063965,-81.92452798
Santa Luz Pool,12110 Santaluz Drive,Fort Myers,1/7/19,26.5673168,-81.7572721
Bent Palms Townhomes Pool,16535 Bent Palms Cove,Fort Myers,1/4/19,26.49270755,-81.92552833
Iona Gardens Pool,15720 Fern Drive,Fort Myers,1/8/19,26.5126407,-81.95564
Flamingo Village Assoc Pool,7140 Blanquilla Street,Fort Myers,1/8/19,26.5207017,-81.9479451
Gulf Hideaway Pool,5450 Park Road,Fort Myers,1/23/19,26.4783636,-81.8455507
Coves of Estero Bay Swimming Pool,6409 Estero Bay Drive,Fort Myers,1/23/19,26.49270755,-81.92552833
Tuscany Gardens Pool,6470 Aragon Way,Fort Myers,1/4/19,26.5513253,-81.8488684
Waterside III & IV Spa,4175 Bay Beach Lane,Fort Myers Beach,2/14/19,26.4085761,-81.8874394
Waterside I & II Spa,4195 Bay Beach Lane,Fort Myers Beach,2/14/19,26.40907591,-81.88862246
Hidden Harbor Lodge Pool,17320 Hidden Estates Circle,Fort Myers,2/13/19,26.4882784,-81.8538269
Fairway Woods of Cross Creek Pool,12541 Cold Stream Drive,Fort Myers,4/23/19,26.56112033,-81.8238159
Snook Bight Marina Pool,4765 Estero Boulevard,Fort Myers Beach,4/17/19,26.43704542,-81.92163634